soundfile,videofile,description,distance,decay,linefreq,bandfreq,numbers
超纲单词.021.mp3,谱图3.mat,这是一个有用的声音,auditory,adj. 听觉的,n. 听众,礼堂,8
超纲单词.022.mp3,谱图1.mat,单词,automated,adj. 自动化的,机械化的,v. 自动化（automate的过去分词）,9
超纲单词.023.mp3,谱图2.mat,单词,benevolent,adj. 仁慈的,慈善的,亲切的,10
超纲单词.024.mp3,谱图3.mat,单词,benign,adj. 良性的,和蔼的，亲切的,吉利的,6
超纲单词.025.mp3,谱图1.mat,单词,betrayal,n. 背叛,辜负,暴露,8
超纲单词.026.mp3,谱图2.mat,单词,bloodshed,n. 流血,杀戮,n. 流血,9
超纲单词.027.mp3,谱图3.mat,单词,brittle,adj. 易碎的，脆弱的,易生气的,adj. 易碎的，脆弱的,7
超纲单词.028.mp3,谱图1.mat,单词,budge,vi. 挪动,微微移动,改变态度或意见,5
超纲单词.029.mp3,谱图2.mat,单词,canteen,n. 食堂，小卖部,水壶,n. 食堂，小卖部,7
超纲单词.030.mp3,谱图3.mat,单词,capability,n. 才能，能力,性能，容量,n. 才能，能力,10
超纲单词.031.mp3,谱图1.mat,单词,carcass,n. （人或动物的）尸体,残骸,（除脏去头备食用的）畜体,7
超纲单词.032.mp3,谱图2.mat,单词,chancellor,n. 总理（德、奥等的）,（英）大臣,校长（美国某些大学的）,10
超纲单词.033.mp3,谱图3.mat,单词,clinical,adj. 临床的,诊所的,adj. 临床的,8
超纲单词.034.mp3,谱图1.mat,单词,collaborate,vi. 合作,勾结，通敌,vi. 合作,11
超纲单词.035.mp3,谱图2.mat,单词,combustion,n. 燃烧，氧化,骚动,n. 燃烧，氧化,10
超纲单词.036.mp3,谱图3.mat,单词,compactness,n. 简洁,紧密,密实度,11
超纲单词.037.mp3,谱图1.mat,单词,compassion,n. 同情,怜悯,n. 同情,10
超纲单词.038.mp3,谱图2.mat,单词,comprehend,vt. 理解,包含,由…组成,10
超纲单词.039.mp3,谱图3.mat,单词,condemnation,n. 谴责,定罪,非难的理由,12
超纲单词.040.mp3,谱图1.mat,单词,confession,n. 忏悔，告解,供认,表白,10
超纲单词.041.mp3,谱图2.mat,单词,confinement,n. 限制,监禁,分娩,11
超纲单词.042.mp3,谱图3.mat,单词,contamination,n. 污染，玷污,污染物,n. 污染，玷污,13
超纲单词.043.mp3,谱图1.mat,单词,contributor,n. 贡献者,投稿者,捐助者,11
超纲单词.044.mp3,谱图2.mat,单词,converse,v. 交谈，谈话,认识,n. 逆行，逆向,8
超纲单词.045.mp3,谱图3.mat,单词,correlation,n. [数] 相关，关联,相互关系,n. [数] 相关，关联,11
超纲单词.046.mp3,谱图1.mat,单词,cosmonaut,n. （俄）宇航员（等于astronaut）,n. （俄）宇航员（等于astronaut）,n. （俄）宇航员（等于astronaut）,9
超纲单词.047.mp3,谱图2.mat,单词,cosmopolitan,adj. 世界性的,世界主义的，四海一家的,见多识广的,12
超纲单词.048.mp3,谱图3.mat,单词,coup,n. 政变,妙计,出乎意料的行动,4
超纲单词.049.mp3,谱图1.mat,单词,credentials,n. [管理] 证书,文凭,信任状（credential的复数）,11
超纲单词.050.mp3,谱图2.mat,单词,cult,n. 狂热,异教团体,宗教信仰,4
超纲单词.051.mp3,谱图3.mat,单词,curt,adj. 简短而失礼的，唐突无礼的,简略的，简要的,草率的,4
超纲单词.052.mp3,谱图1.mat,单词,cyberspace,n. （电子计算机创造的） 通讯、信息空间,n. （电子计算机创造的） 通讯、信息空间,n. （电子计算机创造的） 通讯、信息空间,10
超纲单词.053.mp3,谱图2.mat,单词,dealer,n. 经销商,商人,n. 发牌员,6
超纲单词.054.mp3,谱图3.mat,单词,deceptive,adj. 欺诈的,迷惑的,虚伪的,9
超纲单词.055.mp3,谱图1.mat,单词,decode,vt. 解码，破译,转换,译解，理解（外文）,6
超纲单词.056.mp3,谱图2.mat,单词,deed,n. 行动,功绩,证书,4
超纲单词.057.mp3,谱图3.mat,单词,defective,adj. 有缺陷的,不完美的,n. 有缺陷的人,9
超纲单词.058.mp3,谱图1.mat,单词,deficient,adj. 不足的,有缺陷的,不充分的,9
超纲单词.059.mp3,谱图2.mat,单词,demonstration,n. 示范,证明,示威游行,13
超纲单词.060.mp3,谱图3.mat,单词,deplore,vt. 谴责,悲悼,哀叹,7
超纲单词.061.mp3,谱图1.mat,单词,depressed,adj. 沮丧的,萧条的,压低的,9
超纲单词.062.mp3,谱图2.mat,单词,devastating,adj. 毁灭性的,全然的,v. 摧毁（devastate的ing形式）,11
超纲单词.063.mp3,谱图3.mat,单词,devotion,n. 献身，奉献,忠诚,热爱,8
超纲单词.064.mp3,谱图1.mat,单词,diagnosis,n. 诊断,n. 诊断,n. 诊断,9
超纲单词.065.mp3,谱图2.mat,单词,disapprove,vt. 不赞成,不同意,vi. 不赞成,10
超纲单词.066.mp3,谱图3.mat,单词,disconnect,vt. 拆开，使分离,vi. 断开,vt. 拆开，使分离,10
超纲单词.067.mp3,谱图1.mat,单词,discrimination,n. 歧视,区别，辨别,识别力,14
超纲单词.068.mp3,谱图2.mat,单词,disproportionate,adj. 不成比例的,adj. 不成比例的,adj. 不成比例的,16
超纲单词.069.mp3,谱图3.mat,单词,diverted,v. 呼叫转移，释放（divert的过去分词形式）,v. 呼叫转移，释放（divert的过去分词形式）,v. 呼叫转移，释放（divert的过去分词形式）,8
超纲单词.070.mp3,谱图1.mat,单词,doubtfully,adv. 怀疑地,含糊地,adv. 怀疑地,10
超纲单词.071.mp3,谱图2.mat,单词,downfall,n. 垮台,衰败,落下,8
超纲单词.072.mp3,谱图3.mat,单词,downplay,v. 对……轻描淡写,轻视，贬低,v. 对……轻描淡写,8
超纲单词.073.mp3,谱图1.mat,单词,dramatically,adv. 显著地，剧烈地,戏剧地,引人注目地,12
超纲单词.074.mp3,谱图2.mat,单词,drastically,adv. 彻底地,激烈地,adv. 彻底地,11
超纲单词.075.mp3,谱图3.mat,单词,dressing,n. （拌制色拉用的）调料,馅，填料,（保护伤口的）敷料,8
超纲单词.076.mp3,谱图1.mat,单词,duke,n. 公爵，（公国的）君主,公爵（种）樱桃,n. (Duke)人名,4
超纲单词.077.mp3,谱图2.mat,单词,durability,n. 耐久性,坚固,耐用年限,10
超纲单词.078.mp3,谱图3.mat,单词,dyslexia,n. 难语症,[医] 诵读困难,阅读障碍,8
超纲单词.079.mp3,谱图1.mat,单词,embryo,n. [胚] 胚胎,胚芽,初期,6
超纲单词.080.mp3,谱图2.mat,单词,emergence,n. 出现，浮现,发生,露头,9
超纲单词.081.mp3,谱图3.mat,单词,emission,n. （光、热等的）发射，散发,喷射,发行,8
超纲单词.082.mp3,谱图1.mat,单词,empirically,adv. 以经验为主地,adv. 以经验为主地,adv. 以经验为主地,11
超纲单词.083.mp3,谱图2.mat,单词,encouragement,n. 鼓励,n. 鼓励,n. 鼓励,13
超纲单词.084.mp3,谱图3.mat,单词,enormously,adv. 非常地，极其，在极大程度上,adv. 非常地，极其，在极大程度上,adv. 非常地，极其，在极大程度上,10
超纲单词.085.mp3,谱图1.mat,单词,enslave,vt. 束缚,征服,使某人成为奴隶,7
超纲单词.086.mp3,谱图2.mat,单词,envious,adj. 羡慕的,嫉妒的,adj. 羡慕的,7
超纲单词.087.mp3,谱图3.mat,单词,eruption,n. 爆发，喷发,火山灰,出疹,8
超纲单词.088.mp3,谱图1.mat,单词,ethic,n. 伦理,道德规范,adj. 伦理的,5
超纲单词.089.mp3,谱图2.mat,单词,ethical,adj. 伦理的,道德的,凭处方出售的,7
超纲单词.090.mp3,谱图3.mat,单词,excel,,,,5
超纲单词.091.mp3,谱图1.mat,单词,exceptionally,adv. 异常地,特殊地,例外地,13
超纲单词.092.mp3,谱图2.mat,单词,exclusively,adv. 唯一地，专有地，排外地,作为唯一的（消息）来源,adv. 唯一地，专有地，排外地,11
超纲单词.093.mp3,谱图3.mat,单词,exhausted,adj. 筋疲力尽的，疲惫不堪的,耗尽的，枯竭的,v. 使……精疲力尽,9
超纲单词.094.mp3,谱图1.mat,单词,expanding,adj. 扩大的，扩展的,v. 扩大,扩展（业务）,9
超纲单词.095.mp3,谱图2.mat,单词,explicitly,adv. 明确地,明白地,adv. 明确地,10
超纲单词.096.mp3,谱图3.mat,单词,extinction,n. 灭绝,消失,消灭,10
超纲单词.097.mp3,谱图1.mat,单词,extravagantly,adv. 挥霍无度地,adv. 挥霍无度地,adv. 挥霍无度地,13
超纲单词.098.mp3,谱图2.mat,单词,factual,adj. 事实的,真实的,adj. 事实的,7
超纲单词.099.mp3,谱图3.mat,单词,feudal,adj. 封建制度的,领地的,世仇的,6
超纲单词.100.mp3,谱图1.mat,单词,fiber,n. 纤维（等于 fibre）,n. (Fiber) （匈）菲贝尔（人名）,n. 纤维（等于 fibre）,5
超纲单词.101.mp3,谱图2.mat,单词,fin,,,,3
超纲单词.102.mp3,谱图3.mat,单词,forcibly,adv. 用力地,用武力地，强制地,有说服力地，清楚地,8
超纲单词.103.mp3,谱图1.mat,单词,ford,n. 浅滩,Ford：福特汽车公司,vi. 涉水而过,4
超纲单词.104.mp3,谱图2.mat,单词,fore,adj. 在前部的，前面的,n. 船头，前桅,前面部分,4
超纲单词.105.mp3,谱图3.mat,单词,glaring,adj. 耀眼的,瞪视的,炯炯的,7
超纲单词.106.mp3,谱图1.mat,单词,graciously,adv. 和蔼地,仁慈地,雅致地,10
超纲单词.107.mp3,谱图2.mat,单词,graphics,n. （商业设计或插图中的）图形,图样，图案制图学,制图法,8
超纲单词.108.mp3,谱图3.mat,单词,gravely,adv. 严重地,严肃地,严峻地,7
超纲单词.109.mp3,谱图1.mat,单词,gravitation,n. 重力,万有引力,地心吸力,11
超纲单词.110.mp3,谱图2.mat,单词,greed,n. 贪婪，贪心,n. 贪婪，贪心,n. 贪婪，贪心,5
超纲单词.111.mp3,谱图3.mat,单词,groom,v. （给动物）刷洗, （给自己或其他动物）梳毛,（使）整洁,5
超纲单词.112.mp3,谱图1.mat,单词,haven,n. 保护区，避难所,港口,v. 为……提供避难所,5
超纲单词.113.mp3,谱图2.mat,单词,helmet,n. 钢盔，头盔,n. (Helmet)人名,(德)黑尔梅特,6
超纲单词.114.mp3,谱图3.mat,单词,holder,n. 持有人,所有人,固定器,6
超纲单词.115.mp3,谱图1.mat,单词,hostility,n. 敌意,战争行动,n. 敌意,9
超纲单词.116.mp3,谱图2.mat,单词,hybrid,n. 杂种，混血儿,混合物,adj. 混合的,6
超纲单词.117.mp3,谱图3.mat,单词,iceberg,n. [地理] 冰山,显露部分,n. [地理] 冰山,7
超纲单词.118.mp3,谱图1.mat,单词,identically,adv. 同一地,相等地,adv. 同一地,11
超纲单词.119.mp3,谱图2.mat,单词,illuminate,vt. 阐明，说明,照亮,使灿烂,10
超纲单词.120.mp3,谱图3.mat,单词,imitative,adj. 模仿的,仿制的,adj. 模仿的,9
超纲单词.121.mp3,谱图1.mat,单词,immersed,adj. 浸入的,专注的,v. 浸,8
超纲单词.122.mp3,谱图2.mat,单词,immovable,adj. 不动的,固定的,不改变的,9
超纲单词.123.mp3,谱图3.mat,单词,impartial,adj. 公平的，公正的,不偏不倚的,adj. 公平的，公正的,9
超纲单词.124.mp3,谱图1.mat,单词,implementation,n. [计] 实现,履行,安装启用,14
超纲单词.125.mp3,谱图2.mat,单词,imposing,adj. 壮观的,给人深刻印象的,威风的，仪表堂堂的,8
超纲单词.126.mp3,谱图3.mat,单词,inaccessible,adj. 难达到的,难接近的,难见到的,12
超纲单词.127.mp3,谱图1.mat,单词,incompatible,adj. 不相容的,矛盾的,不能同时成立的,12
超纲单词.128.mp3,谱图2.mat,单词,incredibly,adv. 难以置信地,非常地,adv. 难以置信地,10
超纲单词.129.mp3,谱图3.mat,单词,indefinitely,adv. 不确定地，无限期地,模糊地，不明确地,adv. 不确定地，无限期地,12
超纲单词.130.mp3,谱图1.mat,单词,inevitably,adv. 不可避免地,必然地,adv. 不可避免地,10
超纲单词.131.mp3,谱图2.mat,单词,infection,n. 感染,传染,影响,9
超纲单词.132.mp3,谱图3.mat,单词,infinitely,adv. 无限地,极其,adv. 无限地,10
超纲单词.133.mp3,谱图1.mat,单词,informed,adj. 见多识广的,消息灵通的,有根据的,8
超纲单词.134.mp3,谱图2.mat,单词,infrastructure,n. 基础设施,公共建设,下部构造,14
超纲单词.135.mp3,谱图3.mat,单词,infusion,n. 灌输,浸泡,注入物,8
超纲单词.136.mp3,谱图1.mat,单词,initially,adv. 最初，首先,开头,adv. 最初，首先,9
超纲单词.137.mp3,谱图2.mat,单词,innate,adj. 先天的,固有的,与生俱来的,6
超纲单词.138.mp3,谱图3.mat,单词,innovative,adj. 革新的，创新的,新颖的,有创新精神的,10
超纲单词.139.mp3,谱图1.mat,单词,insanity,n. 疯狂,精神错乱,精神病,8
超纲单词.140.mp3,谱图2.mat,单词,inspection,n. 视察，检查,n. 视察，检查,n. 视察，检查,10
超纲单词.141.mp3,谱图3.mat,单词,inspirational,adj. 鼓舞人心的,带有灵感的，给予灵感的,adj. 鼓舞人心的,13
超纲单词.142.mp3,谱图1.mat,单词,inspiring,adj. 鼓舞人心的,灌输的,启发灵感的,9
超纲单词.143.mp3,谱图2.mat,单词,instability,n. 不稳定（性）,基础薄弱,不安定,11
超纲单词.144.mp3,谱图3.mat,单词,instructive,adj. 有益的,教育性的,adj. 有益的,11
超纲单词.145.mp3,谱图1.mat,单词,intake,n. 摄取量,通风口,引入口,6
超纲单词.146.mp3,谱图2.mat,单词,intercity,adj. 城市间的,跨城市的,adj. 城市间的,9
超纲单词.147.mp3,谱图3.mat,单词,interruption,n. 中断,干扰,中断之事,12
超纲单词.148.mp3,谱图1.mat,单词,intervention,n. 介入,调停,妨碍,12
超纲单词.149.mp3,谱图2.mat,单词,intestine,n. （脊椎动物的）肠,（无脊椎动物的）肠管,adj. 内部的,9
超纲单词.150.mp3,谱图3.mat,单词,ironically,adv. 讽刺地,说反话地,adv. 讽刺地,10
超纲单词.151.mp3,谱图1.mat,单词,irreplaceable,adj. （因贵重或独特）不能替代的，独一无二的,失掉（或损伤）后无法补偿的,adj. （因贵重或独特）不能替代的，独一无二的,13
超纲单词.152.mp3,谱图2.mat,单词,irreversible,adj. 不可逆的,不能取消的,不能翻转的,12
超纲单词.153.mp3,谱图3.mat,单词,irritation,n. 刺激,激怒，恼怒，生气,兴奋,10
超纲单词.154.mp3,谱图1.mat,单词,itinerary,n. 旅程，路线, 旅行日程,adj. 旅程的,9
超纲单词.155.mp3,谱图2.mat,单词,jack,n. 千斤顶,[电] 插座,男人,4
超纲单词.156.mp3,谱图3.mat,单词,juggle,vi. 玩杂耍,欺骗,歪曲,6
超纲单词.157.mp3,谱图1.mat,单词,kerosene,n. 煤油，火油,n. 煤油，火油,n. 煤油，火油,8
超纲单词.158.mp3,谱图2.mat,单词,kin,n. 亲戚,家族,同族,3
超纲单词.159.mp3,谱图3.mat,单词,legacy,n. 遗产,遗赠财物,遗留问题,6
超纲单词.160.mp3,谱图1.mat,单词,linguist,n. 语言学家,学多种外语的人,n. 语言学家,8
超纲单词.161.mp3,谱图2.mat,单词,linguistic,adj. 语言的,语言学的,adj. 语言的,10
超纲单词.162.mp3,谱图3.mat,单词,literate,adj. 受过教育的,精通文学的,n. 学者,8
超纲单词.163.mp3,谱图1.mat,单词,longevity,n. 长寿，长命,寿命,n. 长寿，长命,9
超纲单词.164.mp3,谱图2.mat,单词,malnutrition,n. 营养失调，营养不良,n. 营养失调，营养不良,n. 营养失调，营养不良,12
超纲单词.165.mp3,谱图3.mat,单词,mammal,n. [脊椎] 哺乳动物,n. [脊椎] 哺乳动物,n. [脊椎] 哺乳动物,6
超纲单词.166.mp3,谱图1.mat,单词,manifestation,n. 表现,显示,示威运动,13
超纲单词.167.mp3,谱图2.mat,单词,manure,n. 肥料，粪肥,v. 给……施肥,n. 肥料，粪肥,6
超纲单词.168.mp3,谱图3.mat,单词,mar,,,,3
超纲单词.169.mp3,谱图1.mat,单词,mash,n. 饲料,糊状物,麦芽浆,4
超纲单词.170.mp3,谱图2.mat,单词,mason,n. 泥瓦匠,石工（等于 stonemason）共济会会员（等于 freemason）,vt. 用砖瓦砌成,5
超纲单词.171.mp3,谱图3.mat,单词,mechanize,vt. 使机械化,机动化,用机械装置,9
超纲单词.172.mp3,谱图1.mat,单词,mentality,n. 心态,[心理] 智力,精神力,9
超纲单词.173.mp3,谱图2.mat,单词,merciful,adj. 仁慈的,慈悲的,宽容的,8
超纲单词.174.mp3,谱图3.mat,单词,meteorite,n. 陨石，陨星,流星,n. 陨石，陨星,9
超纲单词.175.mp3,谱图1.mat,单词,methodology,n. 方法学，方法论,n. 方法学，方法论,n. 方法学，方法论,11
超纲单词.176.mp3,谱图2.mat,单词,migration,n. 迁移,移民,移动,9
超纲单词.177.mp3,谱图3.mat,单词,modernize,vt. 使…现代化,vi. 现代化,vt. 使…现代化,9
超纲单词.178.mp3,谱图1.mat,单词,modification,n. 修改，修正,改变,n. 修改，修正,12
超纲单词.179.mp3,谱图2.mat,单词,molten,adj. 熔化的,铸造的,炽热的,6
超纲单词.180.mp3,谱图3.mat,单词,monologue,n. 独白,n. 独白,n. 独白,9
超纲单词.181.mp3,谱图1.mat,单词,motto,n. 座右铭，格言,箴言,n. (Motto)人名,5
超纲单词.182.mp3,谱图2.mat,单词,multicultural,adj. 多种文化的,融合或具有多种文化的,adj. 多种文化的,13
超纲单词.183.mp3,谱图3.mat,单词,neatly,adv. 整洁地,熟练地,灵巧地,6
超纲单词.184.mp3,谱图1.mat,单词,negligence,n. 疏忽,忽视,粗心大意,10
超纲单词.185.mp3,谱图2.mat,单词,obsession,n. 痴迷,困扰,[内科][心理] 强迫观念,9
超纲单词.186.mp3,谱图3.mat,单词,occupancy,n. 居住,占有,占用,9
超纲单词.187.mp3,谱图1.mat,单词,optimist,n. 乐观主义者,乐天派,n. 乐观主义者,8
超纲单词.188.mp3,谱图2.mat,单词,optimistically,adv. 乐观地,乐天地,adv. 乐观地,14
超纲单词.189.mp3,谱图3.mat,单词,originality,n. 创意,独创性，创造力,原始,11
超纲单词.190.mp3,谱图1.mat,单词,outwardly,adv. 表面上,向外,外观上地,9
超纲单词.191.mp3,谱图2.mat,单词,participation,n. 参与,分享,参股,13
超纲单词.192.mp3,谱图3.mat,单词,partnership,n. 合伙,[经管] 合伙企业,合作关系,11
超纲单词.193.mp3,谱图1.mat,单词,payload,n. （导弹、火箭等的）有效载荷，有效负荷,收费载重，酬载,（工厂、企业等）工资负担,7
超纲单词.194.mp3,谱图2.mat,单词,permanence,n. 持久,永久,n. 持久,10
超纲单词.195.mp3,谱图3.mat,单词,persistence,n. 持续,固执,存留,11
超纲单词.196.mp3,谱图1.mat,单词,perspiration,n. 汗水,流汗,努力,12
超纲单词.197.mp3,谱图2.mat,单词,pertinent,adj. 相关的，相干的,中肯的,切题的,9
超纲单词.198.mp3,谱图3.mat,单词,pertinently,adv. 适切地,adv. 适切地,adv. 适切地,11
超纲单词.199.mp3,谱图1.mat,单词,pesticide,n. 杀虫剂,n. 杀虫剂,n. 杀虫剂,9
超纲单词.200.mp3,谱图2.mat,单词,pharmacy,n. 药房,配药学，药剂学,制药业,8
超纲单词.201.mp3,谱图3.mat,单词,pinpoint,vt. 查明,精确地找到,准确描述,8
超纲单词.202.mp3,谱图1.mat,单词,poultry,n. 家禽,家禽肉,n. 家禽,7
超纲单词.203.mp3,谱图2.mat,单词,predominantly,adv. 主要地,显著地,adv. 主要地,13
超纲单词.204.mp3,谱图3.mat,单词,prevailing,adj. 流行的,一般的，最普通的,占优势的,10
超纲单词.205.mp3,谱图1.mat,单词,pristine,adj. 崭新的，清新的，干净的,未开发的，原始的,adj. 崭新的，清新的，干净的,8
超纲单词.206.mp3,谱图2.mat,单词,probation,n. 试用,缓刑,查验,9
超纲单词.207.mp3,谱图3.mat,单词,proficient,adj. 熟练的，精通的,n. 精通,专家，能手,10
超纲单词.208.mp3,谱图1.mat,单词,prosper,vi. 繁荣，昌盛,成功,vt. 使……成功,7
超纲单词.209.mp3,谱图2.mat,单词,quaint,adj. 古雅的,奇怪的,离奇有趣的,6
超纲单词.210.mp3,谱图3.mat,单词,radically,adv. 根本上,彻底地,以激进的方式,9
超纲单词.211.mp3,谱图1.mat,单词,ramp,n. 斜坡，坡道,敲诈,vi. 蔓延,4
超纲单词.212.mp3,谱图2.mat,单词,reproduction,n. 繁殖，生殖,复制,复制品,12
超纲单词.213.mp3,谱图3.mat,单词,resignation,n. 辞职,放弃,辞职书,11
超纲单词.214.mp3,谱图1.mat,单词,respectable,adj. 值得尊敬的,人格高尚的,相当数量的,11
超纲单词.215.mp3,谱图2.mat,单词,respectful,adj. 恭敬的,有礼貌的,adj. 恭敬的,10
超纲单词.216.mp3,谱图3.mat,单词,revel,vi. 狂欢,陶醉,n. 狂欢,5
超纲单词.217.mp3,谱图1.mat,单词,reverse,v. 颠倒,撤销,反转,7
超纲单词.218.mp3,谱图2.mat,单词,revision,n. [印刷] 修正,复习,修订本,8
超纲单词.219.mp3,谱图3.mat,单词,rewarding,adj. 有益的，值得的,有报酬的，报答的,adj. 有益的，值得的,9
超纲单词.220.mp3,谱图1.mat,单词,rigor,n. （尤指发热之初或高潮时的）寒战,严密，严格（rigour 的美式拼法）,n. (Rigor) （菲、美）里戈尔（人名）,5
超纲单词.221.mp3,谱图2.mat,单词,scrutinize,vi. 细阅,作详细检查,vt. 详细检查,10
超纲单词.222.mp3,谱图3.mat,单词,sediment,n. 沉积,沉淀物,n. 沉积,8
超纲单词.223.mp3,谱图1.mat,单词,shear,v. 剪（羊或其他动物的）毛,剪（头发）,（受剪切力作用而）断裂,5
超纲单词.224.mp3,谱图2.mat,单词,shifting,adj. 不断移动的，不断变化的,v. 转移，挪动,快速移动,8
超纲单词.225.mp3,谱图3.mat,单词,shrimp,n. 虾,小虾,矮小的人,6
超纲单词.226.mp3,谱图1.mat,单词,simultaneously,adv. 同时地,adv. 同时地,adv. 同时地,14
超纲单词.227.mp3,谱图2.mat,单词,slate,n. 板岩,石板,蓝色,5
超纲单词.228.mp3,谱图3.mat,单词,smog,n. 烟雾,n. 烟雾,n. 烟雾,4
超纲单词.229.mp3,谱图1.mat,单词,smoothly,adv. 平稳地，平滑地,顺利地，流畅地,平静地,8
超纲单词.230.mp3,谱图2.mat,单词,sociable,adj. 社交的,好交际的,友善的,8
超纲单词.231.mp3,谱图3.mat,单词,solicit,vt. 征求,招揽,请求,7
超纲单词.232.mp3,谱图1.mat,单词,solitude,n. 孤独,隐居,荒僻的地方,8
超纲单词.233.mp3,谱图2.mat,单词,spear,n. 矛，枪,vt. 用矛刺,n. (Spear)人名,5
超纲单词.234.mp3,谱图3.mat,单词,spotlight,n. 聚光灯,反光灯,公众注意的中心,9
超纲单词.235.mp3,谱图1.mat,单词,standardize,vt. 使标准化,用标准检验（standardise 的美式拼写）,vt. 使标准化,11
超纲单词.236.mp3,谱图2.mat,单词,standing,v. 站立,站起来,移动到特定位置,8
超纲单词.237.mp3,谱图3.mat,单词,stark,adj. 完全的,荒凉的,刻板的,5
超纲单词.238.mp3,谱图1.mat,单词,stationery,n. 文具,信纸,n. 文具,10
超纲单词.239.mp3,谱图2.mat,单词,stylish,adj. 时髦的,现代风格的,潇洒的,7
超纲单词.240.mp3,谱图3.mat,单词,suborbital,adj. 眶下的,亚轨道的,不满轨道一整圈的,10
超纲单词.241.mp3,谱图1.mat,单词,supple,adj. 柔软的,灵活的,顺从的,6
超纲单词.242.mp3,谱图2.mat,单词,sustainable,adj. 可以忍受的,足可支撑的,养得起的,11
超纲单词.243.mp3,谱图3.mat,单词,tenure,n. 任期,占有,vt. 授予…终身职位,6
超纲单词.244.mp3,谱图1.mat,单词,touched,adj. 受感动的，受触动的,感激的,行为怪异的，神经兮兮的,7
超纲单词.245.mp3,谱图2.mat,单词,transformation,n. [遗] 转化,转换,改革,14
超纲单词.246.mp3,谱图3.mat,单词,triumphant,adj. 成功的,得意洋洋的,狂欢的,10
超纲单词.247.mp3,谱图1.mat,单词,trolley,n. 手推车,（美）有轨电车（等于trolley car）,（英）无轨电车（等于trolleybus）,7
超纲单词.248.mp3,谱图2.mat,单词,tumor,n. 肿瘤,肿块,赘生物,5
超纲单词.249.mp3,谱图3.mat,单词,turkey,n. 火鸡,笨蛋,失败之作,6
超纲单词.250.mp3,谱图1.mat,单词,twinkle,v. 闪烁,（眼睛）闪亮，闪闪发光,发亮,7
超纲单词.251.mp3,谱图2.mat,单词,uncommon,adj. 不寻常的，罕有的,程度深的，特别大的,adv. 异乎寻常地,8
超纲单词.252.mp3,谱图3.mat,单词,underprivileged,adj. 贫困的,被剥夺基本权力的,社会地位低下的,15
超纲单词.253.mp3,谱图1.mat,单词,undue,adj. 过度的，过分的,不适当的,未到期的,5
超纲单词.254.mp3,谱图2.mat,单词,uranium,n. [化学] 铀,n. [化学] 铀,n. [化学] 铀,7
超纲单词.255.mp3,谱图3.mat,单词,urine,n. 尿,n. 尿,n. 尿,5
超纲单词.256.mp3,谱图1.mat,单词,vacancy,n. 空缺,空位,空白,7
超纲单词.257.mp3,谱图2.mat,单词,validity,n. [计] 有效性,正确,正确性,8
超纲单词.258.mp3,谱图3.mat,单词,vengeance,n. 复仇,报复,报仇,9
